Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
er-105,25,3,2,0.007,0.435,0.57,1.89,1.32,0.442,44.2,,
er-105,25,3,3,0.007,0.455,0.6,1.93,1.33,0.462,46.2,,
er-105,25,3,4,0.005,0.515,0.51,1.86,1.35,0.52,52,,
er-105,25,3,5,0.006,0.46,0.565,1.87,1.305,0.466,46.6,,
er-105,25,3,6,0.005,0.463,0.59,1.88,1.29,0.468,46.8,0.575294118,
Landsberg,25,1,2,0.011,0.411,0.571,1.87,1.299,0.422,42.2,,
Landsberg,25,1,4,0.015,0.436,0.63,1.9,1.27,0.451,45.1,,
Landsberg,25,1,1,0.01,0.45,0.8,2.28,1.48,0.46,46,,
Landsberg,25,1,2,0.01,0.46,0.67,2.12,1.45,0.47,47,,
Landsberg,25,2,1,0.021,0.5,0.71,2,1.29,0.521,52.1,,
Landsberg,25,2,2,0.02,0.466,0.82,2.54,1.72,0.486,48.6,,
Landsberg,25,2,3,0.005,0.435,0.82,2.55,1.73,0.44,44,,
Landsberg,25,3,1,0.043,0.385,0.75,2.41,1.66,0.428,42.8,,
Landsberg,25,3,2,0.035,0.395,0.56,2.05,1.49,0.43,43,,
Landsberg,25,3,3,0.035,0.39,0.595,2.4,1.805,0.425,42.5,,
Landsberg,25,4,1,0.01,0.5,0.75,2.16,1.41,0.51,51,,
Landsberg,25,4,2,0.01,0.495,0.7,2.42,1.72,0.505,50.5,0.698,
Mt-0,25,1,1,0.06,0.59,0.88,1.88,1,0.65,65,,
Mt-0,25,1,2,0.013,0.55,0.6,1.62,1.02,0.563,56.3,,
Mt-0,25,1,3,0.01,0.5,0.7,2,1.3,0.51,51,,
Mt-0,25,1,4,0.005,0.6,0.95,2.13,1.18,0.605,60.5,,
Mt-0,25,2,1,0.012,0.499,0.58,1.9,1.32,0.511,51.1,,
Mt-0,25,2,2,0.005,0.5,0.6,1.78,1.18,0.505,50.5,,
Mt-0,25,2,3,0.05,0.455,0.67,1.73,1.06,0.505,50.5,,
Mt-0,25,2,4,0.02,0.505,0.64,1.35,0.71,0.525,52.5,,
